REGION,FUEL,YEAR,VALUE
GLOBAL,CRPCOW,2020,0.03162
GLOBAL,CRPCOW,2021,0.03225
GLOBAL,CRPCOW,2022,0.03289
GLOBAL,CRPCOW,2023,0.03355
GLOBAL,CRPCOW,2024,0.03421
GLOBAL,CRPCOW,2025,0.03488
GLOBAL,CRPCOW,2026,0.03556
GLOBAL,CRPCOW,2027,0.03625
GLOBAL,CRPCOW,2028,0.03695
GLOBAL,CRPCOW,2029,0.03766
GLOBAL,CRPCOW,2030,0.03838
GLOBAL,CRPCOW,2031,0.0391
GLOBAL,CRPCOW,2032,0.03984
GLOBAL,CRPCOW,2033,0.04058
GLOBAL,CRPCOW,2034,0.04133
GLOBAL,CRPCOW,2035,0.04209
GLOBAL,CRPCOW,2036,0.04286
GLOBAL,CRPCOW,2037,0.04364
GLOBAL,CRPCOW,2038,0.04442
GLOBAL,CRPCOW,2039,0.04522
GLOBAL,CRPCOW,2040,0.04602
GLOBAL,CRPBEA,2020,0.828
GLOBAL,CRPBEA,2021,0.8444772
GLOBAL,CRPBEA,2022,0.861282296
GLOBAL,CRPBEA,2023,0.878421814
GLOBAL,CRPBEA,2024,0.895902408
GLOBAL,CRPBEA,2025,0.913730866
GLOBAL,CRPBEA,2026,0.93191411
GLOBAL,CRPBEA,2027,0.950459201
GLOBAL,CRPBEA,2028,0.969373339
GLOBAL,CRPBEA,2029,0.988663869
GLOBAL,CRPBEA,2030,1.00833828
GLOBAL,CRPBEA,2031,1.028404211
GLOBAL,CRPBEA,2032,1.048869455
GLOBAL,CRPBEA,2033,1.069741957
GLOBAL,CRPBEA,2034,1.091029822
GLOBAL,CRPBEA,2035,1.112741316
GLOBAL,CRPBEA,2036,1.134884868
GLOBAL,CRPBEA,2037,1.157469077
GLOBAL,CRPBEA,2038,1.180502711
GLOBAL,CRPBEA,2039,1.203994715
GLOBAL,CRPBEA,2040,1.22795421
GLOBAL,CRPMZE,2020,4.472
GLOBAL,CRPMZE,2021,4.5609928
GLOBAL,CRPMZE,2022,4.651756557
GLOBAL,CRPMZE,2023,4.744326512
GLOBAL,CRPMZE,2024,4.83873861
GLOBAL,CRPMZE,2025,4.935029508
GLOBAL,CRPMZE,2026,5.033236595
GLOBAL,CRPMZE,2027,5.133398004
GLOBAL,CRPMZE,2028,5.235552624
GLOBAL,CRPMZE,2029,5.339740121
GLOBAL,CRPMZE,2030,5.446000949
GLOBAL,CRPMZE,2031,5.554376368
GLOBAL,CRPMZE,2032,5.664908458
GLOBAL,CRPMZE,2033,5.777640136
GLOBAL,CRPMZE,2034,5.892615175
GLOBAL,CRPMZE,2035,6.009878217
GLOBAL,CRPMZE,2036,6.129474794
GLOBAL,CRPMZE,2037,6.251451342
GLOBAL,CRPMZE,2038,6.375855224
GLOBAL,CRPMZE,2039,6.502734743
GLOBAL,CRPMZE,2040,6.632139164
GLOBAL,CRPSOR,2020,0.297
GLOBAL,CRPSOR,2021,0.3029103
GLOBAL,CRPSOR,2022,0.308938215
GLOBAL,CRPSOR,2023,0.315086085
GLOBAL,CRPSOR,2024,0.321356299
GLOBAL,CRPSOR,2025,0.327751289
GLOBAL,CRPSOR,2026,0.33427354
GLOBAL,CRPSOR,2027,0.340925583
GLOBAL,CRPSOR,2028,0.347710002
GLOBAL,CRPSOR,2029,0.354629431
GLOBAL,CRPSOR,2030,0.361686557
GLOBAL,CRPSOR,2031,0.368884119
GLOBAL,CRPSOR,2032,0.376224913
GLOBAL,CRPSOR,2033,0.383711789
GLOBAL,CRPSOR,2034,0.391347654
GLOBAL,CRPSOR,2035,0.399135472
GLOBAL,CRPSOR,2036,0.407078268
GLOBAL,CRPSOR,2037,0.415179125
GLOBAL,CRPSOR,2038,0.42344119
GLOBAL,CRPSOR,2039,0.43186767
GLOBAL,CRPSOR,2040,0.440461836
GLOBAL,CRPTEA,2020,0.5705
GLOBAL,CRPTEA,2021,0.58087
GLOBAL,CRPTEA,2022,0.59131
GLOBAL,CRPTEA,2023,0.60181
GLOBAL,CRPTEA,2024,0.61237
GLOBAL,CRPTEA,2025,0.62299
GLOBAL,CRPTEA,2026,0.63368
GLOBAL,CRPTEA,2027,0.64444
GLOBAL,CRPTEA,2028,0.65527
GLOBAL,CRPTEA,2029,0.66618
GLOBAL,CRPTEA,2030,0.67717
GLOBAL,CRPTEA,2031,0.68824
GLOBAL,CRPTEA,2032,0.69939
GLOBAL,CRPTEA,2033,0.71063
GLOBAL,CRPTEA,2034,0.72196
GLOBAL,CRPTEA,2035,0.73338
GLOBAL,CRPTEA,2036,0.74488
GLOBAL,CRPTEA,2037,0.75648
GLOBAL,CRPTEA,2038,0.76817
GLOBAL,CRPTEA,2039,0.77994
GLOBAL,CRPTEA,2040,0.79181
GLOBAL,CRPOTH,2020,4.927
GLOBAL,CRPOTH,2021,5.02554
GLOBAL,CRPOTH,2022,5.12605
GLOBAL,CRPOTH,2023,5.22857
GLOBAL,CRPOTH,2024,5.33314
GLOBAL,CRPOTH,2025,5.4398
GLOBAL,CRPOTH,2026,5.54859
GLOBAL,CRPOTH,2027,5.65952
GLOBAL,CRPOTH,2028,5.77264
GLOBAL,CRPOTH,2029,5.88796
GLOBAL,CRPOTH,2030,6.00552
GLOBAL,CRPOTH,2031,6.12536
GLOBAL,CRPOTH,2032,6.24749
GLOBAL,CRPOTH,2033,6.37194
GLOBAL,CRPOTH,2034,6.49876
GLOBAL,CRPOTH,2035,6.62801
GLOBAL,CRPOTH,2036,6.75972
GLOBAL,CRPOTH,2037,6.89395
GLOBAL,CRPOTH,2038,7.03073
GLOBAL,CRPOTH,2039,7.1701
GLOBAL,CRPOTH,2040,7.3121
