REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,PWRBIOKENXX01,2020,2100
GLOBAL,PWRBIOKENXX01,2021,2100
GLOBAL,PWRBIOKENXX01,2022,2100
GLOBAL,PWRBIOKENXX01,2023,2100
GLOBAL,PWRBIOKENXX01,2024,2100
GLOBAL,PWRBIOKENXX01,2025,2100
GLOBAL,PWRBIOKENXX01,2026,2100
GLOBAL,PWRBIOKENXX01,2027,2100
GLOBAL,PWRBIOKENXX01,2028,2100
GLOBAL,PWRBIOKENXX01,2029,2100
GLOBAL,PWRBIOKENXX01,2030,2100
GLOBAL,PWRBIOKENXX01,2031,2095
GLOBAL,PWRBIOKENXX01,2032,2090
GLOBAL,PWRBIOKENXX01,2033,2085
GLOBAL,PWRBIOKENXX01,2034,2080
GLOBAL,PWRBIOKENXX01,2035,2075
GLOBAL,PWRBIOKENXX01,2036,2070
GLOBAL,PWRBIOKENXX01,2037,2065
GLOBAL,PWRBIOKENXX01,2038,2060
GLOBAL,PWRBIOKENXX01,2039,2055
GLOBAL,PWRBIOKENXX01,2040,2050
GLOBAL,PWRCCGKENXX00,2020,700
GLOBAL,PWRCCGKENXX00,2021,700
GLOBAL,PWRCCGKENXX00,2022,700
GLOBAL,PWRCCGKENXX00,2023,700
GLOBAL,PWRCCGKENXX00,2024,700
GLOBAL,PWRCCGKENXX00,2025,700
GLOBAL,PWRCCGKENXX00,2026,700
GLOBAL,PWRCCGKENXX00,2027,700
GLOBAL,PWRCCGKENXX00,2028,700
GLOBAL,PWRCCGKENXX00,2029,700
GLOBAL,PWRCCGKENXX00,2030,700
GLOBAL,PWRCCGKENXX00,2031,700
GLOBAL,PWRCCGKENXX00,2032,700
GLOBAL,PWRCCGKENXX00,2033,700
GLOBAL,PWRCCGKENXX00,2034,700
GLOBAL,PWRCCGKENXX00,2035,700
GLOBAL,PWRCCGKENXX00,2036,700
GLOBAL,PWRCCGKENXX00,2037,700
GLOBAL,PWRCCGKENXX00,2038,700
GLOBAL,PWRCCGKENXX00,2039,700
GLOBAL,PWRCCGKENXX00,2040,700
GLOBAL,PWRCCGKENXX01,2020,700
GLOBAL,PWRCCGKENXX01,2021,700
GLOBAL,PWRCCGKENXX01,2022,700
GLOBAL,PWRCCGKENXX01,2023,700
GLOBAL,PWRCCGKENXX01,2024,700
GLOBAL,PWRCCGKENXX01,2025,700
GLOBAL,PWRCCGKENXX01,2026,700
GLOBAL,PWRCCGKENXX01,2027,700
GLOBAL,PWRCCGKENXX01,2028,700
GLOBAL,PWRCCGKENXX01,2029,700
GLOBAL,PWRCCGKENXX01,2030,700
GLOBAL,PWRCCGKENXX01,2031,700
GLOBAL,PWRCCGKENXX01,2032,700
GLOBAL,PWRCCGKENXX01,2033,700
GLOBAL,PWRCCGKENXX01,2034,700
GLOBAL,PWRCCGKENXX01,2035,700
GLOBAL,PWRCCGKENXX01,2036,700
GLOBAL,PWRCCGKENXX01,2037,700
GLOBAL,PWRCCGKENXX01,2038,700
GLOBAL,PWRCCGKENXX01,2039,700
GLOBAL,PWRCCGKENXX01,2040,700
GLOBAL,PWRCOAKENXX01,2020,1600
GLOBAL,PWRCOAKENXX01,2021,1600
GLOBAL,PWRCOAKENXX01,2022,1600
GLOBAL,PWRCOAKENXX01,2023,1600
GLOBAL,PWRCOAKENXX01,2024,1600
GLOBAL,PWRCOAKENXX01,2025,1600
GLOBAL,PWRCOAKENXX01,2026,1600
GLOBAL,PWRCOAKENXX01,2027,1600
GLOBAL,PWRCOAKENXX01,2028,1600
GLOBAL,PWRCOAKENXX01,2029,1600
GLOBAL,PWRCOAKENXX01,2030,1600
GLOBAL,PWRCOAKENXX01,2031,1600
GLOBAL,PWRCOAKENXX01,2032,1600
GLOBAL,PWRCOAKENXX01,2033,1600
GLOBAL,PWRCOAKENXX01,2034,1600
GLOBAL,PWRCOAKENXX01,2035,1600
GLOBAL,PWRCOAKENXX01,2036,1600
GLOBAL,PWRCOAKENXX01,2037,1600
GLOBAL,PWRCOAKENXX01,2038,1600
GLOBAL,PWRCOAKENXX01,2039,1600
GLOBAL,PWRCOAKENXX01,2040,1600
GLOBAL,PWRCOGKENXX01,2020,920
GLOBAL,PWRCOGKENXX01,2021,920
GLOBAL,PWRCOGKENXX01,2022,920
GLOBAL,PWRCOGKENXX01,2023,920
GLOBAL,PWRCOGKENXX01,2024,920
GLOBAL,PWRCOGKENXX01,2025,920
GLOBAL,PWRCOGKENXX01,2026,920
GLOBAL,PWRCOGKENXX01,2027,920
GLOBAL,PWRCOGKENXX01,2028,920
GLOBAL,PWRCOGKENXX01,2029,920
GLOBAL,PWRCOGKENXX01,2030,920
GLOBAL,PWRCOGKENXX01,2031,920
GLOBAL,PWRCOGKENXX01,2032,920
GLOBAL,PWRCOGKENXX01,2033,920
GLOBAL,PWRCOGKENXX01,2034,920
GLOBAL,PWRCOGKENXX01,2035,920
GLOBAL,PWRCOGKENXX01,2036,920
GLOBAL,PWRCOGKENXX01,2037,920
GLOBAL,PWRCOGKENXX01,2038,920
GLOBAL,PWRCOGKENXX01,2039,920
GLOBAL,PWRCOGKENXX01,2040,920
GLOBAL,PWRCSPKENXX01,2020,4000
GLOBAL,PWRCSPKENXX01,2021,4000
GLOBAL,PWRCSPKENXX01,2022,4000
GLOBAL,PWRCSPKENXX01,2023,4000
GLOBAL,PWRCSPKENXX01,2024,4000
GLOBAL,PWRCSPKENXX01,2025,4000
GLOBAL,PWRCSPKENXX01,2026,4000
GLOBAL,PWRCSPKENXX01,2027,4000
GLOBAL,PWRCSPKENXX01,2028,4000
GLOBAL,PWRCSPKENXX01,2029,4000
GLOBAL,PWRCSPKENXX01,2030,4000
GLOBAL,PWRCSPKENXX01,2031,3940
GLOBAL,PWRCSPKENXX01,2032,3880
GLOBAL,PWRCSPKENXX01,2033,3820
GLOBAL,PWRCSPKENXX01,2034,3760
GLOBAL,PWRCSPKENXX01,2035,3700
GLOBAL,PWRCSPKENXX01,2036,3640
GLOBAL,PWRCSPKENXX01,2037,3580
GLOBAL,PWRCSPKENXX01,2038,3520
GLOBAL,PWRCSPKENXX01,2039,3460
GLOBAL,PWRCSPKENXX01,2040,3400
GLOBAL,PWRGEOKENXX01,2020,2900
GLOBAL,PWRGEOKENXX01,2021,2900
