REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,PWRBIOKENXX01,2020,75.0
GLOBAL,PWRBIOKENXX01,2021,75.0
GLOBAL,PWRBIOKENXX01,2022,75.0
GLOBAL,PWRBIOKENXX01,2023,75.0
GLOBAL,PWRBIOKENXX01,2024,75.0
GLOBAL,PWRBIOKENXX01,2025,75.0
GLOBAL,PWRBIOKENXX01,2026,75.0
GLOBAL,PWRBIOKENXX01,2027,75.0
GLOBAL,PWRBIOKENXX01,2028,75.0
GLOBAL,PWRBIOKENXX01,2029,75.0
GLOBAL,PWRBIOKENXX01,2030,75.0
GLOBAL,PWRBIOKENXX01,2031,74.5
GLOBAL,PWRBIOKENXX01,2032,74.0
GLOBAL,PWRBIOKENXX01,2033,73.5
GLOBAL,PWRBIOKENXX01,2034,73.0
GLOBAL,PWRBIOKENXX01,2035,72.5
GLOBAL,PWRBIOKENXX01,2036,72.0
GLOBAL,PWRBIOKENXX01,2037,71.5
GLOBAL,PWRBIOKENXX01,2038,71.0
GLOBAL,PWRBIOKENXX01,2039,70.5
GLOBAL,PWRBIOKENXX01,2040,70.0
GLOBAL,PWRCCGKENXX00,2020,25.0
GLOBAL,PWRCCGKENXX00,2021,25.0
GLOBAL,PWRCCGKENXX00,2022,25.0
GLOBAL,PWRCCGKENXX00,2023,25.0
GLOBAL,PWRCCGKENXX00,2024,25.0
GLOBAL,PWRCCGKENXX00,2025,25.0
GLOBAL,PWRCCGKENXX00,2026,25.0
GLOBAL,PWRCCGKENXX00,2027,25.0
GLOBAL,PWRCCGKENXX00,2028,25.0
GLOBAL,PWRCCGKENXX00,2029,25.0
GLOBAL,PWRCCGKENXX00,2030,25.0
GLOBAL,PWRCCGKENXX00,2031,25.0
GLOBAL,PWRCCGKENXX00,2032,25.0
GLOBAL,PWRCCGKENXX00,2033,25.0
GLOBAL,PWRCCGKENXX00,2034,25.0
GLOBAL,PWRCCGKENXX00,2035,25.0
GLOBAL,PWRCCGKENXX00,2036,25.0
GLOBAL,PWRCCGKENXX00,2037,25.0
GLOBAL,PWRCCGKENXX00,2038,25.0
GLOBAL,PWRCCGKENXX00,2039,25.0
GLOBAL,PWRCCGKENXX00,2040,25.0
GLOBAL,PWRCCGKENXX01,2020,25.0
GLOBAL,PWRCCGKENXX01,2021,25.0
GLOBAL,PWRCCGKENXX01,2022,25.0
GLOBAL,PWRCCGKENXX01,2023,25.0
GLOBAL,PWRCCGKENXX01,2024,25.0
GLOBAL,PWRCCGKENXX01,2025,25.0
GLOBAL,PWRCCGKENXX01,2026,25.0
GLOBAL,PWRCCGKENXX01,2027,25.0
GLOBAL,PWRCCGKENXX01,2028,25.0
GLOBAL,PWRCCGKENXX01,2029,25.0
GLOBAL,PWRCCGKENXX01,2030,25.0
GLOBAL,PWRCCGKENXX01,2031,25.0
GLOBAL,PWRCCGKENXX01,2032,25.0
GLOBAL,PWRCCGKENXX01,2033,25.0
GLOBAL,PWRCCGKENXX01,2034,25.0
GLOBAL,PWRCCGKENXX01,2035,25.0
GLOBAL,PWRCCGKENXX01,2036,25.0
GLOBAL,PWRCCGKENXX01,2037,25.0
GLOBAL,PWRCCGKENXX01,2038,25.0
GLOBAL,PWRCCGKENXX01,2039,25.0
GLOBAL,PWRCCGKENXX01,2040,25.0
GLOBAL,PWRCOAKENXX01,2020,58.33
GLOBAL,PWRCOAKENXX01,2021,58.33
GLOBAL,PWRCOAKENXX01,2022,58.33
GLOBAL,PWRCOAKENXX01,2023,58.33
GLOBAL,PWRCOAKENXX01,2024,58.33
GLOBAL,PWRCOAKENXX01,2025,58.33
GLOBAL,PWRCOAKENXX01,2026,58.33
GLOBAL,PWRCOAKENXX01,2027,58.33
GLOBAL,PWRCOAKENXX01,2028,58.33
GLOBAL,PWRCOAKENXX01,2029,58.33
GLOBAL,PWRCOAKENXX01,2030,58.33
GLOBAL,PWRCOAKENXX01,2031,58.33
GLOBAL,PWRCOAKENXX01,2032,58.33
GLOBAL,PWRCOAKENXX01,2033,58.33
GLOBAL,PWRCOAKENXX01,2034,58.33
GLOBAL,PWRCOAKENXX01,2035,58.33
GLOBAL,PWRCOAKENXX01,2036,58.33
GLOBAL,PWRCOAKENXX01,2037,58.33
GLOBAL,PWRCOAKENXX01,2038,58.33
GLOBAL,PWRCOAKENXX01,2039,58.33
GLOBAL,PWRCOAKENXX01,2040,58.33
GLOBAL,PWRCOGKENXX01,2020,35.0
GLOBAL,PWRCOGKENXX01,2021,35.0
GLOBAL,PWRCOGKENXX01,2022,35.0
GLOBAL,PWRCOGKENXX01,2023,35.0
GLOBAL,PWRCOGKENXX01,2024,35.0
GLOBAL,PWRCOGKENXX01,2025,35.0
GLOBAL,PWRCOGKENXX01,2026,35.0
GLOBAL,PWRCOGKENXX01,2027,35.0
GLOBAL,PWRCOGKENXX01,2028,35.0
GLOBAL,PWRCOGKENXX01,2029,35.0
GLOBAL,PWRCOGKENXX01,2030,35.0
GLOBAL,PWRCOGKENXX01,2031,35.0
GLOBAL,PWRCOGKENXX01,2032,35.0
GLOBAL,PWRCOGKENXX01,2033,35.0
GLOBAL,PWRCOGKENXX01,2034,35.0
GLOBAL,PWRCOGKENXX01,2035,35.0
GLOBAL,PWRCOGKENXX01,2036,35.0
GLOBAL,PWRCOGKENXX01,2037,35.0
