REGION,FUEL,YEAR,VALUE
GLOBAL,ELCKENXX02,2020,35.427996
GLOBAL,ELCKENXX02,2021,38.7872496
GLOBAL,ELCKENXX02,2022,42.146503200000005
GLOBAL,ELCKENXX02,2023,45.5057568
GLOBAL,ELCKENXX02,2024,48.8650104
GLOBAL,ELCKENXX02,2025,52.224264
GLOBAL,ELCKENXX02,2026,56.4828552
GLOBAL,ELCKENXX02,2027,60.7414464
GLOBAL,ELCKENXX02,2028,65.0000376
GLOBAL,ELCKENXX02,2029,69.25862880000001
GLOBAL,ELCKENXX02,2030,73.51722
GLOBAL,ELCKENXX02,2031,78.50936879999999
GLOBAL,ELCKENXX02,2032,83.5015176
GLOBAL,ELCKENXX02,2033,88.4936664
GLOBAL,ELCKENXX02,2034,93.4858152
GLOBAL,ELCKENXX02,2035,98.477964
GLOBAL,ELCKENXX02,2036,104.4114264
GLOBAL,ELCKENXX02,2037,110.3448888
GLOBAL,ELCKENXX02,2038,116.2783512
GLOBAL,ELCKENXX02,2039,122.2118136
GLOBAL,ELCKENXX02,2040,128.145276
