REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,LNDAGRKENC01,2020,241.077
GLOBAL,LNDAGRKENC01,2021,241.077
GLOBAL,LNDAGRKENC01,2022,241.077
GLOBAL,LNDAGRKENC01,2023,241.077
GLOBAL,LNDAGRKENC01,2024,241.077
GLOBAL,LNDAGRKENC01,2025,241.077
GLOBAL,LNDAGRKENC01,2026,241.077
GLOBAL,LNDAGRKENC01,2027,241.077
GLOBAL,LNDAGRKENC01,2028,241.077
GLOBAL,LNDAGRKENC01,2029,241.077
GLOBAL,LNDAGRKENC01,2030,241.077
GLOBAL,LNDAGRKENC01,2031,241.077
GLOBAL,LNDAGRKENC01,2032,241.077
GLOBAL,LNDAGRKENC01,2033,241.077
GLOBAL,LNDAGRKENC01,2034,241.077
GLOBAL,LNDAGRKENC01,2035,241.077
GLOBAL,LNDAGRKENC01,2036,241.077
GLOBAL,LNDAGRKENC01,2037,241.077
GLOBAL,LNDAGRKENC01,2038,241.077
GLOBAL,LNDAGRKENC01,2039,241.077
GLOBAL,LNDAGRKENC01,2040,241.077
GLOBAL,LNDAGRKENC02,2020,172.582
GLOBAL,LNDAGRKENC02,2021,172.582
GLOBAL,LNDAGRKENC02,2022,172.582
GLOBAL,LNDAGRKENC02,2023,172.582
GLOBAL,LNDAGRKENC02,2024,172.582
GLOBAL,LNDAGRKENC02,2025,172.582
GLOBAL,LNDAGRKENC02,2026,172.582
GLOBAL,LNDAGRKENC02,2027,172.582
GLOBAL,LNDAGRKENC02,2028,172.582
GLOBAL,LNDAGRKENC02,2029,172.582
GLOBAL,LNDAGRKENC02,2030,172.582
GLOBAL,LNDAGRKENC02,2031,172.582
GLOBAL,LNDAGRKENC02,2032,172.582
GLOBAL,LNDAGRKENC02,2033,172.582
GLOBAL,LNDAGRKENC02,2034,172.582
GLOBAL,LNDAGRKENC02,2035,172.582
GLOBAL,LNDAGRKENC02,2036,172.582
GLOBAL,LNDAGRKENC02,2037,172.582
GLOBAL,LNDAGRKENC02,2038,172.582
GLOBAL,LNDAGRKENC02,2039,172.582
GLOBAL,LNDAGRKENC02,2040,172.582
GLOBAL,LNDAGRKENC03,2020,71.49
GLOBAL,LNDAGRKENC03,2021,71.49
GLOBAL,LNDAGRKENC03,2022,71.49
GLOBAL,LNDAGRKENC03,2023,71.49
GLOBAL,LNDAGRKENC03,2024,71.49
GLOBAL,LNDAGRKENC03,2025,71.49
GLOBAL,LNDAGRKENC03,2026,71.49
GLOBAL,LNDAGRKENC03,2027,71.49
GLOBAL,LNDAGRKENC03,2028,71.49
GLOBAL,LNDAGRKENC03,2029,71.49
GLOBAL,LNDAGRKENC03,2030,71.49
GLOBAL,LNDAGRKENC03,2031,71.49
GLOBAL,LNDAGRKENC03,2032,71.49
GLOBAL,LNDAGRKENC03,2033,71.49
GLOBAL,LNDAGRKENC03,2034,71.49
GLOBAL,LNDAGRKENC03,2035,71.49
GLOBAL,LNDAGRKENC03,2036,71.49
GLOBAL,LNDAGRKENC03,2037,71.49
GLOBAL,LNDAGRKENC03,2038,71.49
GLOBAL,LNDAGRKENC03,2039,71.49
GLOBAL,LNDAGRKENC03,2040,71.49
GLOBAL,LNDAGRKENC04,2020,101.262
GLOBAL,LNDAGRKENC04,2021,101.262
GLOBAL,LNDAGRKENC04,2022,101.262
GLOBAL,LNDAGRKENC04,2023,101.262
GLOBAL,LNDAGRKENC04,2024,101.262
GLOBAL,LNDAGRKENC04,2025,101.262
GLOBAL,LNDAGRKENC04,2026,101.262
GLOBAL,LNDAGRKENC04,2027,101.262
GLOBAL,LNDAGRKENC04,2028,101.262
GLOBAL,LNDAGRKENC04,2029,101.262
GLOBAL,LNDAGRKENC04,2030,101.262
GLOBAL,LNDAGRKENC04,2031,101.262
GLOBAL,LNDAGRKENC04,2032,101.262
GLOBAL,LNDAGRKENC04,2033,101.262
GLOBAL,LNDAGRKENC04,2034,101.262
GLOBAL,LNDAGRKENC04,2035,101.262
GLOBAL,LNDAGRKENC04,2036,101.262
GLOBAL,LNDAGRKENC04,2037,101.262
GLOBAL,LNDAGRKENC04,2038,101.262
GLOBAL,LNDAGRKENC04,2039,101.262
GLOBAL,LNDAGRKENC04,2040,101.262
