REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
GLOBAL,MINCOAKEN,1,2020,2.240310923
GLOBAL,MINCOAKEN,2,2020,2.240310923
GLOBAL,MINCOAKEN,1,2021,2.306859462
GLOBAL,MINCOAKEN,2,2021,2.306859462
GLOBAL,MINCOAKEN,1,2022,2.237505869
GLOBAL,MINCOAKEN,2,2022,2.237505869
GLOBAL,MINCOAKEN,1,2023,2.168973215
GLOBAL,MINCOAKEN,2,2023,2.168973215
GLOBAL,MINCOAKEN,1,2024,2.101546709
GLOBAL,MINCOAKEN,2,2024,2.101546709
GLOBAL,MINCOAKEN,1,2025,2.035404007
GLOBAL,MINCOAKEN,2,2025,2.035404007
GLOBAL,MINCOAKEN,1,2026,1.973648456
GLOBAL,MINCOAKEN,2,2026,1.973648456
GLOBAL,MINCOAKEN,1,2027,1.911892905
GLOBAL,MINCOAKEN,2,2027,1.911892905
GLOBAL,MINCOAKEN,1,2028,1.850137354
GLOBAL,MINCOAKEN,2,2028,1.850137354
GLOBAL,MINCOAKEN,1,2029,1.788381803
GLOBAL,MINCOAKEN,2,2029,1.788381803
GLOBAL,MINCOAKEN,1,2030,1.726626252
GLOBAL,MINCOAKEN,2,2030,1.726626252
GLOBAL,MINCOAKEN,1,2031,1.726626252
GLOBAL,MINCOAKEN,2,2031,1.726626252
GLOBAL,MINCOAKEN,1,2032,1.726626252
GLOBAL,MINCOAKEN,2,2032,1.726626252
GLOBAL,MINCOAKEN,1,2033,1.726626252
GLOBAL,MINCOAKEN,2,2033,1.726626252
GLOBAL,MINCOAKEN,1,2034,1.726626252
GLOBAL,MINCOAKEN,2,2034,1.726626252
GLOBAL,MINCOAKEN,1,2035,1.726626252
GLOBAL,MINCOAKEN,2,2035,1.726626252
GLOBAL,MINCOAKEN,1,2036,1.726626252
GLOBAL,MINCOAKEN,2,2036,1.726626252
GLOBAL,MINCOAKEN,1,2037,1.726626252
GLOBAL,MINCOAKEN,2,2037,1.726626252
GLOBAL,MINCOAKEN,1,2038,1.726626252
GLOBAL,MINCOAKEN,2,2038,1.726626252
GLOBAL,MINCOAKEN,1,2039,1.726626252
GLOBAL,MINCOAKEN,2,2039,1.726626252
GLOBAL,MINCOAKEN,1,2040,1.726626252
GLOBAL,MINCOAKEN,2,2040,1.726626252
GLOBAL,MINCOAINT,1,2020,0.336046638
GLOBAL,MINCOAINT,2,2020,0.336046638
GLOBAL,MINCOAINT,1,2021,0.346028919
GLOBAL,MINCOAINT,2,2021,0.346028919
GLOBAL,MINCOAINT,1,2022,0.33562588
GLOBAL,MINCOAINT,2,2022,0.33562588
GLOBAL,MINCOAINT,1,2023,0.325345982
GLOBAL,MINCOAINT,2,2023,0.325345982
GLOBAL,MINCOAINT,1,2024,0.315232006
GLOBAL,MINCOAINT,2,2024,0.315232006
GLOBAL,MINCOAINT,1,2025,0.305310601
GLOBAL,MINCOAINT,2,2025,0.305310601
GLOBAL,MINCOAINT,1,2026,0.296047268
GLOBAL,MINCOAINT,2,2026,0.296047268
GLOBAL,MINCOAINT,1,2027,0.286783936
GLOBAL,MINCOAINT,2,2027,0.286783936
GLOBAL,MINCOAINT,1,2028,0.277520603
GLOBAL,MINCOAINT,2,2028,0.277520603
GLOBAL,MINCOAINT,1,2029,0.26825727
GLOBAL,MINCOAINT,2,2029,0.26825727
GLOBAL,MINCOAINT,1,2030,0.258993938
GLOBAL,MINCOAINT,2,2030,0.258993938
GLOBAL,MINCOAINT,1,2031,0.258993938
GLOBAL,MINCOAINT,2,2031,0.258993938
GLOBAL,MINCOAINT,1,2032,0.258993938
GLOBAL,MINCOAINT,2,2032,0.258993938
GLOBAL,MINCOAINT,1,2033,0.258993938
GLOBAL,MINCOAINT,2,2033,0.258993938
GLOBAL,MINCOAINT,1,2034,0.258993938
GLOBAL,MINCOAINT,2,2034,0.258993938
GLOBAL,MINCOAINT,1,2035,0.258993938
GLOBAL,MINCOAINT,2,2035,0.258993938
GLOBAL,MINCOAINT,1,2036,0.258993938
GLOBAL,MINCOAINT,2,2036,0.258993938
GLOBAL,MINCOAINT,1,2037,0.258993938
GLOBAL,MINCOAINT,2,2037,0.258993938
GLOBAL,MINCOAINT,1,2038,0.258993938
GLOBAL,MINCOAINT,2,2038,0.258993938
GLOBAL,MINCOAINT,1,2039,0.258993938
GLOBAL,MINCOAINT,2,2039,0.258993938
GLOBAL,MINCOAINT,1,2040,0.258993938
GLOBAL,MINCOAINT,2,2040,0.258993938
GLOBAL,MINCOGKEN,1,2020,2.968225831
GLOBAL,MINCOGKEN,2,2020,2.968225831
GLOBAL,MINCOGKEN,1,2021,3.86399351
GLOBAL,MINCOGKEN,2,2021,3.86399351
GLOBAL,MINCOGKEN,1,2022,4.033033795
GLOBAL,MINCOGKEN,2,2022,4.033033795
GLOBAL,MINCOGKEN,1,2023,4.207017264
GLOBAL,MINCOGKEN,2,2023,4.207017264
GLOBAL,MINCOGKEN,1,2024,4.386433804
GLOBAL,MINCOGKEN,2,2024,4.386433804
GLOBAL,MINCOGKEN,1,2025,4.571677488
GLOBAL,MINCOGKEN,2,2025,4.571677488
GLOBAL,MINCOGKEN,1,2026,4.776561913
GLOBAL,MINCOGKEN,2,2026,4.776561913
GLOBAL,MINCOGKEN,1,2027,4.981446337
GLOBAL,MINCOGKEN,2,2027,4.981446337
GLOBAL,MINCOGKEN,1,2028,5.186330761
GLOBAL,MINCOGKEN,2,2028,5.186330761
GLOBAL,MINCOGKEN,1,2029,5.391215185
GLOBAL,MINCOGKEN,2,2029,5.391215185
GLOBAL,MINCOGKEN,1,2030,5.596099609
GLOBAL,MINCOGKEN,2,2030,5.596099609
GLOBAL,MINCOGKEN,1,2031,5.596099609
GLOBAL,MINCOGKEN,2,2031,5.596099609
GLOBAL,MINCOGKEN,1,2032,5.596099609
GLOBAL,MINCOGKEN,2,2032,5.596099609
GLOBAL,MINCOGKEN,1,2033,5.596099609
GLOBAL,MINCOGKEN,2,2033,5.596099609
GLOBAL,MINCOGKEN,1,2034,5.596099609
GLOBAL,MINCOGKEN,2,2034,5.596099609
GLOBAL,MINCOGKEN,1,2035,5.596099609
GLOBAL,MINCOGKEN,2,2035,5.596099609
GLOBAL,MINCOGKEN,1,2036,5.596099609
GLOBAL,MINCOGKEN,2,2036,5.596099609
GLOBAL,MINCOGKEN,1,2037,5.596099609
GLOBAL,MINCOGKEN,2,2037,5.596099609
GLOBAL,MINCOGKEN,1,2038,5.596099609
GLOBAL,MINCOGKEN,2,2038,5.596099609
GLOBAL,MINCOGKEN,1,2039,5.596099609
GLOBAL,MINCOGKEN,2,2039,5.596099609
GLOBAL,MINCOGKEN,1,2040,5.596099609
GLOBAL,MINCOGKEN,2,2040,5.596099609
GLOBAL,MINCOGINT,1,2020,0.445233875
GLOBAL,MINCOGINT,2,2020,0.445233875
GLOBAL,MINCOGINT,1,2021,0.579599026
GLOBAL,MINCOGINT,2,2021,0.579599026
GLOBAL,MINCOGINT,1,2022,0.604955069
GLOBAL,MINCOGINT,2,2022,0.604955069
GLOBAL,MINCOGINT,1,2023,0.63105259
GLOBAL,MINCOGINT,2,2023,0.63105259
GLOBAL,MINCOGINT,1,2024,0.657965071
GLOBAL,MINCOGINT,2,2024,0.657965071
GLOBAL,MINCOGINT,1,2025,0.685751623
GLOBAL,MINCOGINT,2,2025,0.685751623
GLOBAL,MINCOGINT,1,2026,0.716484287
GLOBAL,MINCOGINT,2,2026,0.716484287
GLOBAL,MINCOGINT,1,2027,0.74721695
GLOBAL,MINCOGINT,2,2027,0.74721695
GLOBAL,MINCOGINT,1,2028,0.777949614
GLOBAL,MINCOGINT,2,2028,0.777949614
GLOBAL,MINCOGINT,1,2029,0.808682278
GLOBAL,MINCOGINT,2,2029,0.808682278
GLOBAL,MINCOGINT,1,2030,0.839414941
GLOBAL,MINCOGINT,2,2030,0.839414941
GLOBAL,MINCOGINT,1,2031,0.839414941
GLOBAL,MINCOGINT,2,2031,0.839414941
GLOBAL,MINCOGINT,1,2032,0.839414941
GLOBAL,MINCOGINT,2,2032,0.839414941
GLOBAL,MINCOGINT,1,2033,0.839414941
GLOBAL,MINCOGINT,2,2033,0.839414941
GLOBAL,MINCOGINT,1,2034,0.839414941
GLOBAL,MINCOGINT,2,2034,0.839414941
GLOBAL,MINCOGINT,1,2035,0.839414941
GLOBAL,MINCOGINT,2,2035,0.839414941
GLOBAL,MINCOGINT,1,2036,0.839414941
GLOBAL,MINCOGINT,2,2036,0.839414941
GLOBAL,MINCOGINT,1,2037,0.839414941
GLOBAL,MINCOGINT,2,2037,0.839414941
GLOBAL,MINCOGINT,1,2038,0.839414941
GLOBAL,MINCOGINT,2,2038,0.839414941
GLOBAL,MINCOGINT,1,2039,0.839414941
GLOBAL,MINCOGINT,2,2039,0.839414941
GLOBAL,MINCOGINT,1,2040,0.839414941
GLOBAL,MINCOGINT,2,2040,0.839414941
GLOBAL,MINGASKEN,1,2020,2.968225831
GLOBAL,MINGASKEN,2,2020,2.968225831
GLOBAL,MINGASKEN,1,2021,3.86399351
GLOBAL,MINGASKEN,2,2021,3.86399351
GLOBAL,MINGASKEN,1,2022,4.033033795
GLOBAL,MINGASKEN,2,2022,4.033033795
GLOBAL,MINGASKEN,1,2023,4.207017264
GLOBAL,MINGASKEN,2,2023,4.207017264
GLOBAL,MINGASKEN,1,2024,4.386433804
GLOBAL,MINGASKEN,2,2024,4.386433804
GLOBAL,MINGASKEN,1,2025,4.571677488
GLOBAL,MINGASKEN,2,2025,4.571677488
GLOBAL,MINGASKEN,1,2026,4.776561913
GLOBAL,MINGASKEN,2,2026,4.776561913
GLOBAL,MINGASKEN,1,2027,4.981446337
GLOBAL,MINGASKEN,2,2027,4.981446337
GLOBAL,MINGASKEN,1,2028,5.186330761
GLOBAL,MINGASKEN,2,2028,5.186330761
GLOBAL,MINGASKEN,1,2029,5.391215185
GLOBAL,MINGASKEN,2,2029,5.391215185
GLOBAL,MINGASKEN,1,2030,5.596099609
GLOBAL,MINGASKEN,2,2030,5.596099609
GLOBAL,MINGASKEN,1,2031,5.596099609
GLOBAL,MINGASKEN,2,2031,5.596099609
GLOBAL,MINGASKEN,1,2032,5.596099609
GLOBAL,MINGASKEN,2,2032,5.596099609
GLOBAL,MINGASKEN,1,2033,5.596099609
GLOBAL,MINGASKEN,2,2033,5.596099609
GLOBAL,MINGASKEN,1,2034,5.596099609
GLOBAL,MINGASKEN,2,2034,5.596099609
GLOBAL,MINGASKEN,1,2035,5.596099609
GLOBAL,MINGASKEN,2,2035,5.596099609
GLOBAL,MINGASKEN,1,2036,5.596099609
GLOBAL,MINGASKEN,2,2036,5.596099609
GLOBAL,MINGASKEN,1,2037,5.596099609
GLOBAL,MINGASKEN,2,2037,5.596099609
GLOBAL,MINGASKEN,1,2038,5.596099609
GLOBAL,MINGASKEN,2,2038,5.596099609
GLOBAL,MINGASKEN,1,2039,5.596099609
GLOBAL,MINGASKEN,2,2039,5.596099609
GLOBAL,MINGASKEN,1,2040,5.596099609
GLOBAL,MINGASKEN,2,2040,5.596099609
GLOBAL,MINGASINT,1,2020,0.445233875
GLOBAL,MINGASINT,2,2020,0.445233875
GLOBAL,MINGASINT,1,2021,0.579599026
GLOBAL,MINGASINT,2,2021,0.579599026
GLOBAL,MINGASINT,1,2022,0.604955069
GLOBAL,MINGASINT,2,2022,0.604955069
GLOBAL,MINGASINT,1,2023,0.63105259
GLOBAL,MINGASINT,2,2023,0.63105259
GLOBAL,MINGASINT,1,2024,0.657965071
GLOBAL,MINGASINT,2,2024,0.657965071
GLOBAL,MINGASINT,1,2025,0.685751623
GLOBAL,MINGASINT,2,2025,0.685751623
GLOBAL,MINGASINT,1,2026,0.716484287
GLOBAL,MINGASINT,2,2026,0.716484287
GLOBAL,MINGASINT,1,2027,0.74721695
GLOBAL,MINGASINT,2,2027,0.74721695
GLOBAL,MINGASINT,1,2028,0.777949614
GLOBAL,MINGASINT,2,2028,0.777949614
GLOBAL,MINGASINT,1,2029,0.808682278
GLOBAL,MINGASINT,2,2029,0.808682278
GLOBAL,MINGASINT,1,2030,0.839414941
GLOBAL,MINGASINT,2,2030,0.839414941
GLOBAL,MINGASINT,1,2031,0.839414941
GLOBAL,MINGASINT,2,2031,0.839414941
GLOBAL,MINGASINT,1,2032,0.839414941
GLOBAL,MINGASINT,2,2032,0.839414941
GLOBAL,MINGASINT,1,2033,0.839414941
GLOBAL,MINGASINT,2,2033,0.839414941
GLOBAL,MINGASINT,1,2034,0.839414941
GLOBAL,MINGASINT,2,2034,0.839414941
GLOBAL,MINGASINT,1,2035,0.839414941
GLOBAL,MINGASINT,2,2035,0.839414941
GLOBAL,MINGASINT,1,2036,0.839414941
GLOBAL,MINGASINT,2,2036,0.839414941
GLOBAL,MINGASINT,1,2037,0.839414941
GLOBAL,MINGASINT,2,2037,0.839414941
GLOBAL,MINGASINT,1,2038,0.839414941
GLOBAL,MINGASINT,2,2038,0.839414941
GLOBAL,MINGASINT,1,2039,0.839414941
GLOBAL,MINGASINT,2,2039,0.839414941
GLOBAL,MINGASINT,1,2040,0.839414941
GLOBAL,MINGASINT,2,2040,0.839414941
GLOBAL,MINOILKEN,1,2020,5.77733273
GLOBAL,MINOILKEN,2,2020,5.77733273
GLOBAL,MINOILKEN,1,2021,6.823794059
GLOBAL,MINOILKEN,2,2021,6.823794059
GLOBAL,MINOILKEN,1,2022,7.103273853
GLOBAL,MINOILKEN,2,2022,7.103273853
GLOBAL,MINOILKEN,1,2023,7.38989326
GLOBAL,MINOILKEN,2,2023,7.38989326
GLOBAL,MINOILKEN,1,2024,7.684447096
GLOBAL,MINOILKEN,2,2024,7.684447096
GLOBAL,MINOILKEN,1,2025,7.987553951
GLOBAL,MINOILKEN,2,2025,7.987553951
GLOBAL,MINOILKEN,1,2026,8.319519784
GLOBAL,MINOILKEN,2,2026,8.319519784
GLOBAL,MINOILKEN,1,2027,8.651485618
GLOBAL,MINOILKEN,2,2027,8.651485618
GLOBAL,MINOILKEN,1,2028,8.983451452
GLOBAL,MINOILKEN,2,2028,8.983451452
GLOBAL,MINOILKEN,1,2029,9.315417286
GLOBAL,MINOILKEN,2,2029,9.315417286
GLOBAL,MINOILKEN,1,2030,9.64738312
GLOBAL,MINOILKEN,2,2030,9.64738312
GLOBAL,MINOILKEN,1,2031,9.64738312
GLOBAL,MINOILKEN,2,2031,9.64738312
GLOBAL,MINOILKEN,1,2032,9.64738312
GLOBAL,MINOILKEN,2,2032,9.64738312
GLOBAL,MINOILKEN,1,2033,9.64738312
GLOBAL,MINOILKEN,2,2033,9.64738312
GLOBAL,MINOILKEN,1,2034,9.64738312
GLOBAL,MINOILKEN,2,2034,9.64738312
GLOBAL,MINOILKEN,1,2035,9.64738312
GLOBAL,MINOILKEN,2,2035,9.64738312
GLOBAL,MINOILKEN,1,2036,9.64738312
GLOBAL,MINOILKEN,2,2036,9.64738312
GLOBAL,MINOILKEN,1,2037,9.64738312
GLOBAL,MINOILKEN,2,2037,9.64738312
GLOBAL,MINOILKEN,1,2038,9.64738312
