REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,PWRBIOKENXX01,2020,0.09
GLOBAL,PWRBIOKENXX01,2021,0.09
GLOBAL,PWRBIOKENXX01,2022,0.09
GLOBAL,PWRBIOKENXX01,2023,0.09
GLOBAL,PWRBIOKENXX01,2024,0.09
GLOBAL,PWRBIOKENXX01,2025,0.09
GLOBAL,PWRBIOKENXX01,2026,0.09
GLOBAL,PWRBIOKENXX01,2027,0.09
GLOBAL,PWRBIOKENXX01,2028,0.09
GLOBAL,PWRBIOKENXX01,2029,0.09
GLOBAL,PWRBIOKENXX01,2030,0.09
GLOBAL,PWRBIOKENXX01,2031,0.09
GLOBAL,PWRBIOKENXX01,2032,0.09
GLOBAL,PWRBIOKENXX01,2033,0.09
GLOBAL,PWRBIOKENXX01,2034,0.09
GLOBAL,PWRBIOKENXX01,2035,0.09
GLOBAL,PWRBIOKENXX01,2036,0.09
GLOBAL,PWRBIOKENXX01,2037,0.09
GLOBAL,PWRBIOKENXX01,2038,0.09
GLOBAL,PWRBIOKENXX01,2039,0.09
GLOBAL,PWRBIOKENXX01,2040,0.09
GLOBAL,PWRGEOKENXX01,2020,0.754
GLOBAL,PWRGEOKENXX01,2021,0.754
GLOBAL,PWRGEOKENXX01,2022,0.754
GLOBAL,PWRGEOKENXX01,2023,0.754
GLOBAL,PWRGEOKENXX01,2024,0.754
GLOBAL,PWRGEOKENXX01,2025,0.754
GLOBAL,PWRGEOKENXX01,2026,0.754
GLOBAL,PWRGEOKENXX01,2027,0.754
GLOBAL,PWRGEOKENXX01,2028,0.754
GLOBAL,PWRGEOKENXX01,2029,0.754
GLOBAL,PWRGEOKENXX01,2030,0.754
GLOBAL,PWRGEOKENXX01,2031,0.419
GLOBAL,PWRGEOKENXX01,2032,0.419
GLOBAL,PWRGEOKENXX01,2033,0.419
GLOBAL,PWRGEOKENXX01,2034,0.419
GLOBAL,PWRGEOKENXX01,2035,0.419
GLOBAL,PWRGEOKENXX01,2036,0.419
GLOBAL,PWRGEOKENXX01,2037,0.419
GLOBAL,PWRGEOKENXX01,2038,0.419
GLOBAL,PWRGEOKENXX01,2039,0.419
GLOBAL,PWRGEOKENXX01,2040,0.419
GLOBAL,PWRHYDKENXX01,2020,0.8198
GLOBAL,PWRHYDKENXX01,2021,0.8198
GLOBAL,PWRHYDKENXX01,2022,0.8198
GLOBAL,PWRHYDKENXX01,2023,0.8198
GLOBAL,PWRHYDKENXX01,2024,0.8198
GLOBAL,PWRHYDKENXX01,2025,0.8198
GLOBAL,PWRHYDKENXX01,2026,0.8198
GLOBAL,PWRHYDKENXX01,2027,0.8198
GLOBAL,PWRHYDKENXX01,2028,0.8198
GLOBAL,PWRHYDKENXX01,2029,0.8198
GLOBAL,PWRHYDKENXX01,2030,0.8198
GLOBAL,PWRHYDKENXX01,2031,0.8198
GLOBAL,PWRHYDKENXX01,2032,0.8198
GLOBAL,PWRHYDKENXX01,2033,0.8198
GLOBAL,PWRHYDKENXX01,2034,0.8198
GLOBAL,PWRHYDKENXX01,2035,0.8198
GLOBAL,PWRHYDKENXX01,2036,0.8198
GLOBAL,PWRHYDKENXX01,2037,0.8198
GLOBAL,PWRHYDKENXX01,2038,0.8198
GLOBAL,PWRHYDKENXX01,2039,0.8198
GLOBAL,PWRHYDKENXX01,2040,0.8198
GLOBAL,PWROILKENXX01,2020,0.7345
GLOBAL,PWROILKENXX01,2021,0.7345
GLOBAL,PWROILKENXX01,2022,0.7345
GLOBAL,PWROILKENXX01,2023,0.7345
GLOBAL,PWROILKENXX01,2024,0.7345
GLOBAL,PWROILKENXX01,2025,0.7345
GLOBAL,PWROILKENXX01,2026,0.7345
GLOBAL,PWROILKENXX01,2027,0.447
GLOBAL,PWROILKENXX01,2028,0.447
GLOBAL,PWROILKENXX01,2029,0.447
GLOBAL,PWROILKENXX01,2030,0.327
GLOBAL,PWROILKENXX01,2031,0.327
GLOBAL,PWROILKENXX01,2032,0.252
GLOBAL,PWROILKENXX01,2033,0.252
GLOBAL,PWROILKENXX01,2034,0.252
GLOBAL,PWROILKENXX01,2035,0.252
GLOBAL,PWROILKENXX01,2036,0.252
GLOBAL,PWROILKENXX01,2037,0.252
GLOBAL,PWROILKENXX01,2038,0.252
GLOBAL,PWROILKENXX01,2039,0.252
GLOBAL,PWROILKENXX01,2040,0.162
GLOBAL,PWRSPVKENXX01,2020,0.024
GLOBAL,PWRSPVKENXX01,2021,0.024
GLOBAL,PWRSPVKENXX01,2022,0.024
GLOBAL,PWRSPVKENXX01,2023,0.024
GLOBAL,PWRSPVKENXX01,2024,0.024
GLOBAL,PWRSPVKENXX01,2025,0.024
GLOBAL,PWRSPVKENXX01,2026,0.024
GLOBAL,PWRSPVKENXX01,2027,0.024
GLOBAL,PWRSPVKENXX01,2028,0.024
GLOBAL,PWRSPVKENXX01,2029,0.024
GLOBAL,PWRSPVKENXX01,2030,0.024
GLOBAL,PWRSPVKENXX01,2031,0.024
GLOBAL,PWRSPVKENXX01,2032,0.024
GLOBAL,PWRSPVKENXX01,2033,0.024
GLOBAL,PWRSPVKENXX01,2034,0.024
GLOBAL,PWRSPVKENXX01,2035,0.024
GLOBAL,PWRSPVKENXX01,2036,0.024
GLOBAL,PWRSPVKENXX01,2037,0.024
GLOBAL,PWRSPVKENXX01,2038,0.024
GLOBAL,PWRSPVKENXX01,2039,0.024
GLOBAL,PWRSPVKENXX01,2040,0.024
GLOBAL,PWRWONKENXX01,2020,0.336
GLOBAL,PWRWONKENXX01,2021,0.336
GLOBAL,PWRWONKENXX01,2022,0.336
GLOBAL,PWRWONKENXX01,2023,0.336
GLOBAL,PWRWONKENXX01,2024,0.31
GLOBAL,PWRWONKENXX01,2025,0.31
GLOBAL,PWRWONKENXX01,2026,0.31
GLOBAL,PWRWONKENXX01,2027,0.31
GLOBAL,PWRWONKENXX01,2028,0.31
GLOBAL,PWRWONKENXX01,2029,0.31
GLOBAL,PWRWONKENXX01,2030,0.31
GLOBAL,PWRWONKENXX01,2031,0.31
GLOBAL,PWRWONKENXX01,2032,0.31
GLOBAL,PWRWONKENXX01,2033,0.31
GLOBAL,PWRWONKENXX01,2034,0.31
GLOBAL,PWRWONKENXX01,2035,0.31
GLOBAL,PWRWONKENXX01,2036,0.31
GLOBAL,PWRWONKENXX01,2037,0.31
GLOBAL,PWRWONKENXX01,2038,0.31
GLOBAL,PWRWONKENXX01,2039,0.31
GLOBAL,PWRWONKENXX01,2040,0.31
GLOBAL,LNDCOWHRTOT,2020,2.104732091
GLOBAL,LNDCOWHRTOT,2021,1.84164058
GLOBAL,LNDCOWHRTOT,2022,1.339374967
GLOBAL,LNDCOWHRTOT,2023,1.004531225
GLOBAL,LNDCOWHRTOT,2024,0.547926123
GLOBAL,LNDCOWHRTOT,2025,0.342453827
GLOBAL,LNDCOWHRTOT,2026,0.124528664
GLOBAL,LNDCOWHRTOT,2027,0.062264332
GLOBAL,LNDCOWHRTOT,2028,0.011320788
GLOBAL,LNDCOWHRTOT,2029,0.004245295
GLOBAL,LNDCOWHRTOT,2030,0
GLOBAL,LNDCOWHITOT,2020,0.068904273
GLOBAL,LNDCOWHITOT,2021,0.060291239
GLOBAL,LNDCOWHITOT,2022,0.043848174
GLOBAL,LNDCOWHITOT,2023,0.03288613
GLOBAL,LNDCOWHITOT,2024,0.017937889
GLOBAL,LNDCOWHITOT,2025,0.011211181
GLOBAL,LNDCOWHITOT,2026,0.004076793
GLOBAL,LNDCOWHITOT,2027,0.002038396
GLOBAL,LNDCOWHITOT,2028,0.000370618
GLOBAL,LNDCOWHITOT,2029,0.000138982
GLOBAL,LNDCOWHITOT,2030,0
GLOBAL,LNDBEAHRTOT,2020,10.46360825
GLOBAL,LNDBEAHRTOT,2021,8.561134022
GLOBAL,LNDBEAHRTOT,2022,6.226279289
GLOBAL,LNDBEAHRTOT,2023,3.962177729
GLOBAL,LNDBEAHRTOT,2024,2.161187852
GLOBAL,LNDBEAHRTOT,2025,0.982358115
GLOBAL,LNDBEAHRTOT,2026,0.357221133
GLOBAL,LNDBEAHRTOT,2027,0.097423945
GLOBAL,LNDBEAHRTOT,2028,0.017713445
GLOBAL,LNDBEAHRTOT,2029,0.001610313
GLOBAL,LNDBEAHRTOT,2030,0
GLOBAL,LNDBEAHITOT,2020,0.342555387
GLOBAL,LNDBEAHITOT,2021,0.299735964
GLOBAL,LNDBEAHITOT,2022,0.217989792
GLOBAL,LNDBEAHITOT,2023,0.163492344
GLOBAL,LNDBEAHITOT,2024,0.089177642
GLOBAL,LNDBEAHITOT,2025,0.055736026
GLOBAL,LNDBEAHITOT,2026,0.020267646
GLOBAL,LNDBEAHITOT,2027,0.010133823
GLOBAL,LNDBEAHITOT,2028,0.001842513
GLOBAL,LNDBEAHITOT,2029,0.000690942
GLOBAL,LNDBEAHITOT,2030,0
GLOBAL,LNDMZEHRTOT,2020,20.21259349
GLOBAL,LNDMZEHRTOT,2021,16.53757649
GLOBAL,LNDMZEHRTOT,2022,12.02732836
GLOBAL,LNDMZEHRTOT,2023,7.65375441
GLOBAL,LNDMZEHRTOT,2024,4.174775133
GLOBAL,LNDMZEHRTOT,2025,1.89762506
GLOBAL,LNDMZEHRTOT,2026,0.690045477
GLOBAL,LNDMZEHRTOT,2027,0.188194221
GLOBAL,LNDMZEHRTOT,2028,0.034217131
GLOBAL,LNDMZEHRTOT,2029,0.003110648
GLOBAL,LNDMZEHRTOT,2030,0
GLOBAL,LNDMZEHITOT,2020,0.661715598
GLOBAL,LNDMZEHITOT,2021,0.541403671
GLOBAL,LNDMZEHITOT,2022,0.393748125
GLOBAL,LNDMZEHITOT,2023,0.250566988
GLOBAL,LNDMZEHITOT,2024,0.136672903
GLOBAL,LNDMZEHITOT,2025,0.062124047
GLOBAL,LNDMZEHITOT,2026,0.022590562
GLOBAL,LNDMZEHITOT,2027,0.006161062
GLOBAL,LNDMZEHITOT,2028,0.001120193
GLOBAL,LNDMZEHITOT,2029,0.000101836
GLOBAL,LNDMZEHITOT,2030,0
GLOBAL,LNDSORHRTOT,2020,1.856363636
GLOBAL,LNDSORHRTOT,2021,1.624318182
GLOBAL,LNDSORHRTOT,2022,1.181322314
GLOBAL,LNDSORHRTOT,2023,0.885991736
GLOBAL,LNDSORHRTOT,2024,0.483268219
GLOBAL,LNDSORHRTOT,2025,0.302042637
GLOBAL,LNDSORHRTOT,2026,0.109833686
GLOBAL,LNDSORHRTOT,2027,0.054916843
GLOBAL,LNDSORHRTOT,2028,0.009984881
GLOBAL,LNDSORHRTOT,2029,0.00374433
GLOBAL,LNDSORHRTOT,2030,0
GLOBAL,LNDSORHITOT,2020,0.058846727
GLOBAL,LNDSORHITOT,2021,0.051490886
GLOBAL,LNDSORHITOT,2022,0.037447917
GLOBAL,LNDSORHITOT,2023,0.028085938
GLOBAL,LNDSORHITOT,2024,0.015319603
GLOBAL,LNDSORHITOT,2025,0.009574752
GLOBAL,LNDSORHITOT,2026,0.003481728
GLOBAL,LNDSORHITOT,2027,0.001740864
GLOBAL,LNDSORHITOT,2028,0.000316521
GLOBAL,LNDSORHITOT,2029,0.000118695
GLOBAL,LNDSORHITOT,2030,0
GLOBAL,LNDTEAHRTOT,2020,1.434844545
GLOBAL,LNDTEAHRTOT,2021,1.255488977
GLOBAL,LNDTEAHRTOT,2022,0.913082893
GLOBAL,LNDTEAHRTOT,2023,0.684812169
GLOBAL,LNDTEAHRTOT,2024,0.373533911
GLOBAL,LNDTEAHRTOT,2025,0.233458694
GLOBAL,LNDTEAHRTOT,2026,0.084894071
GLOBAL,LNDTEAHRTOT,2027,0.042447035
GLOBAL,LNDTEAHRTOT,2028,0.007717643
GLOBAL,LNDTEAHRTOT,2029,0.002894116
GLOBAL,LNDTEAHRTOT,2030,0
GLOBAL,LNDTEAHITOT,2020,0.046973636
GLOBAL,LNDTEAHITOT,2021,0.041101932
GLOBAL,LNDTEAHITOT,2022,0.029892314
GLOBAL,LNDTEAHITOT,2023,0.022419236
GLOBAL,LNDTEAHITOT,2024,0.012228674
GLOBAL,LNDTEAHITOT,2025,0.007642921
GLOBAL,LNDTEAHITOT,2026,0.002779244
GLOBAL,LNDTEAHITOT,2027,0.001389622
GLOBAL,LNDTEAHITOT,2028,0.000252659
GLOBAL,LNDTEAHITOT,2029,9.4747E-05
GLOBAL,LNDTEAHITOT,2030,0
GLOBAL,LNDOTHHRTOT,2020,5.025454545
GLOBAL,LNDOTHHRTOT,2021,4.397272727
GLOBAL,LNDOTHHRTOT,2022,3.198016529
GLOBAL,LNDOTHHRTOT,2023,2.398512397
GLOBAL,LNDOTHHRTOT,2024,1.308279489
GLOBAL,LNDOTHHRTOT,2025,0.817674681
GLOBAL,LNDOTHHRTOT,2026,0.297336248
GLOBAL,LNDOTHHRTOT,2027,0.148668124
GLOBAL,LNDOTHHRTOT,2028,0.027030568
GLOBAL,LNDOTHHRTOT,2029,0.010136463
GLOBAL,LNDOTHHRTOT,2030,0
GLOBAL,LNDOTHHITOT,2020,0.164454545
GLOBAL,LNDOTHHITOT,2021,0.143897727
GLOBAL,LNDOTHHITOT,2022,0.104652893
GLOBAL,LNDOTHHITOT,2023,0.078489669
GLOBAL,LNDOTHHITOT,2024,0.042812547
GLOBAL,LNDOTHHITOT,2025,0.026757842
GLOBAL,LNDOTHHITOT,2026,0.009730124
GLOBAL,LNDOTHHITOT,2027,0.004865062
GLOBAL,LNDOTHHITOT,2028,0.000884557
GLOBAL,LNDOTHHITOT,2029,0.000331709
GLOBAL,LNDOTHHITOT,2030,0
