REGION,EMISSION,YEAR,VALUE
GLOBAL,CO2,2020,0.1623654
GLOBAL,CO2,2021,0.157854127
GLOBAL,CO2,2022,0.153342854
GLOBAL,CO2,2023,0.148831581
GLOBAL,CO2,2024,0.144320308
GLOBAL,CO2,2025,0.139809035
GLOBAL,CO2,2026,0.135297762
GLOBAL,CO2,2027,0.130786489
GLOBAL,CO2,2028,0.126275216
GLOBAL,CO2,2029,0.121763943
GLOBAL,CO2,2030,0.11725267
GLOBAL,CO2,2031,0.112741397
GLOBAL,CO2,2032,0.108230124
GLOBAL,CO2,2033,0.103718851
GLOBAL,CO2,2034,0.099207578
GLOBAL,CO2,2035,0.094696305
GLOBAL,CO2,2036,0.090185032
GLOBAL,CO2,2037,0.085673759
GLOBAL,CO2,2038,0.081162486
GLOBAL,CO2,2039,0.076651213
GLOBAL,CO2,2040,0.07213994
