REGION,FUEL,TIMESLICE,YEAR,VALUE
GLOBAL,ELCKENXX02,S1D1,2020,0.12
GLOBAL,ELCKENXX02,S1D1,2021,0.12
GLOBAL,ELCKENXX02,S1D1,2022,0.12
GLOBAL,ELCKENXX02,S1D1,2023,0.12
GLOBAL,ELCKENXX02,S1D1,2024,0.12
GLOBAL,ELCKENXX02,S1D1,2025,0.12
GLOBAL,ELCKENXX02,S1D1,2026,0.12
GLOBAL,ELCKENXX02,S1D1,2027,0.12
GLOBAL,ELCKENXX02,S1D1,2028,0.12
GLOBAL,ELCKENXX02,S1D1,2029,0.12
GLOBAL,ELCKENXX02,S1D1,2030,0.12
GLOBAL,ELCKENXX02,S1D1,2031,0.12
GLOBAL,ELCKENXX02,S1D1,2032,0.12
GLOBAL,ELCKENXX02,S1D1,2033,0.12
GLOBAL,ELCKENXX02,S1D1,2034,0.12
GLOBAL,ELCKENXX02,S1D1,2035,0.12
GLOBAL,ELCKENXX02,S1D1,2036,0.12
GLOBAL,ELCKENXX02,S1D1,2037,0.12
GLOBAL,ELCKENXX02,S1D1,2038,0.12
GLOBAL,ELCKENXX02,S1D1,2039,0.12
GLOBAL,ELCKENXX02,S1D1,2040,0.12
GLOBAL,ELCKENXX02,S1D2,2020,0.12
GLOBAL,ELCKENXX02,S1D2,2021,0.12
GLOBAL,ELCKENXX02,S1D2,2022,0.12
GLOBAL,ELCKENXX02,S1D2,2023,0.12
GLOBAL,ELCKENXX02,S1D2,2024,0.12
GLOBAL,ELCKENXX02,S1D2,2025,0.12
GLOBAL,ELCKENXX02,S1D2,2026,0.12
GLOBAL,ELCKENXX02,S1D2,2027,0.12
GLOBAL,ELCKENXX02,S1D2,2028,0.12
GLOBAL,ELCKENXX02,S1D2,2029,0.12
GLOBAL,ELCKENXX02,S1D2,2030,0.12
GLOBAL,ELCKENXX02,S1D2,2031,0.12
GLOBAL,ELCKENXX02,S1D2,2032,0.12
GLOBAL,ELCKENXX02,S1D2,2033,0.12
GLOBAL,ELCKENXX02,S1D2,2034,0.12
GLOBAL,ELCKENXX02,S1D2,2035,0.12
GLOBAL,ELCKENXX02,S1D2,2036,0.12
GLOBAL,ELCKENXX02,S1D2,2037,0.12
GLOBAL,ELCKENXX02,S1D2,2038,0.12
GLOBAL,ELCKENXX02,S1D2,2039,0.12
GLOBAL,ELCKENXX02,S1D2,2040,0.12
GLOBAL,ELCKENXX02,S2D1,2020,0.08
GLOBAL,ELCKENXX02,S2D1,2021,0.08
GLOBAL,ELCKENXX02,S2D1,2022,0.08
GLOBAL,ELCKENXX02,S2D1,2023,0.08
GLOBAL,ELCKENXX02,S2D1,2024,0.08
GLOBAL,ELCKENXX02,S2D1,2025,0.08
GLOBAL,ELCKENXX02,S2D1,2026,0.08
GLOBAL,ELCKENXX02,S2D1,2027,0.08
GLOBAL,ELCKENXX02,S2D1,2028,0.08
GLOBAL,ELCKENXX02,S2D1,2029,0.08
GLOBAL,ELCKENXX02,S2D1,2030,0.08
GLOBAL,ELCKENXX02,S2D1,2031,0.08
GLOBAL,ELCKENXX02,S2D1,2032,0.08
GLOBAL,ELCKENXX02,S2D1,2033,0.08
GLOBAL,ELCKENXX02,S2D1,2034,0.08
GLOBAL,ELCKENXX02,S2D1,2035,0.08
GLOBAL,ELCKENXX02,S2D1,2036,0.08
GLOBAL,ELCKENXX02,S2D1,2037,0.08
GLOBAL,ELCKENXX02,S2D1,2038,0.08
GLOBAL,ELCKENXX02,S2D1,2039,0.08
GLOBAL,ELCKENXX02,S2D1,2040,0.08
