REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
GLOBAL,LNDAGRKENC01,30,2020,0.1
GLOBAL,LNDAGRKENC01,30,2021,0.1
GLOBAL,LNDAGRKENC01,30,2022,0.1
GLOBAL,LNDAGRKENC01,30,2023,0.1
GLOBAL,LNDAGRKENC01,30,2024,0.1
GLOBAL,LNDAGRKENC01,30,2025,0.1
GLOBAL,LNDAGRKENC01,30,2026,0.1
GLOBAL,LNDAGRKENC01,30,2027,0.1
GLOBAL,LNDAGRKENC01,30,2028,0.1
GLOBAL,LNDAGRKENC01,30,2029,0.1
GLOBAL,LNDAGRKENC01,30,2030,0.1
GLOBAL,LNDAGRKENC01,30,2031,0.1
GLOBAL,LNDAGRKENC01,30,2032,0.1
GLOBAL,LNDAGRKENC01,30,2033,0.1
GLOBAL,LNDAGRKENC01,30,2034,0.1
GLOBAL,LNDAGRKENC01,30,2035,0.1
GLOBAL,LNDAGRKENC01,30,2036,0.1
GLOBAL,LNDAGRKENC01,30,2037,0.1
GLOBAL,LNDAGRKENC01,30,2038,0.1
GLOBAL,LNDAGRKENC01,30,2039,0.1
GLOBAL,LNDAGRKENC01,30,2040,0.1
GLOBAL,LNDAGRKENC02,30,2020,5
GLOBAL,LNDAGRKENC02,30,2021,5
GLOBAL,LNDAGRKENC02,30,2022,5
GLOBAL,LNDAGRKENC02,30,2023,5
GLOBAL,LNDAGRKENC02,30,2024,5
GLOBAL,LNDAGRKENC02,30,2025,5
GLOBAL,LNDAGRKENC02,30,2026,5
GLOBAL,LNDAGRKENC02,30,2027,5
GLOBAL,LNDAGRKENC02,30,2028,5
GLOBAL,LNDAGRKENC02,30,2029,5
GLOBAL,LNDAGRKENC02,30,2030,5
GLOBAL,LNDAGRKENC02,30,2031,5
GLOBAL,LNDAGRKENC02,30,2032,5
GLOBAL,LNDAGRKENC02,30,2033,5
GLOBAL,LNDAGRKENC02,30,2034,5
GLOBAL,LNDAGRKENC02,30,2035,5
GLOBAL,LNDAGRKENC02,30,2036,5
GLOBAL,LNDAGRKENC02,30,2037,5
GLOBAL,LNDAGRKENC02,30,2038,5
GLOBAL,LNDAGRKENC02,30,2039,5
GLOBAL,LNDAGRKENC02,30,2040,5
GLOBAL,LNDAGRKENC03,30,2020,0.2
GLOBAL,LNDAGRKENC03,30,2021,0.2
GLOBAL,LNDAGRKENC03,30,2022,0.2
GLOBAL,LNDAGRKENC03,30,2023,0.2
GLOBAL,LNDAGRKENC03,30,2024,0.2
GLOBAL,LNDAGRKENC03,30,2025,0.2
GLOBAL,LNDAGRKENC03,30,2026,0.2
GLOBAL,LNDAGRKENC03,30,2027,0.2
GLOBAL,LNDAGRKENC03,30,2028,0.2
GLOBAL,LNDAGRKENC03,30,2029,0.2
GLOBAL,LNDAGRKENC03,30,2030,0.2
GLOBAL,LNDAGRKENC03,30,2031,0.2
GLOBAL,LNDAGRKENC03,30,2032,0.2
GLOBAL,LNDAGRKENC03,30,2033,0.2
GLOBAL,LNDAGRKENC03,30,2034,0.2
GLOBAL,LNDAGRKENC03,30,2035,0.2
GLOBAL,LNDAGRKENC03,30,2036,0.2
GLOBAL,LNDAGRKENC03,30,2037,0.2
GLOBAL,LNDAGRKENC03,30,2038,0.2
GLOBAL,LNDAGRKENC03,30,2039,0.2
GLOBAL,LNDAGRKENC03,30,2040,0.2
GLOBAL,LNDAGRKENC04,30,2020,7
GLOBAL,LNDAGRKENC04,30,2021,7
GLOBAL,LNDAGRKENC04,30,2022,7
GLOBAL,LNDAGRKENC04,30,2023,7
GLOBAL,LNDAGRKENC04,30,2024,7
GLOBAL,LNDAGRKENC04,30,2025,7
GLOBAL,LNDAGRKENC04,30,2026,7
GLOBAL,LNDAGRKENC04,30,2027,7
GLOBAL,LNDAGRKENC04,30,2028,7
GLOBAL,LNDAGRKENC04,30,2029,7
GLOBAL,LNDAGRKENC04,30,2030,7
GLOBAL,LNDAGRKENC04,30,2031,7
GLOBAL,LNDAGRKENC04,30,2032,7
GLOBAL,LNDAGRKENC04,30,2033,7
GLOBAL,LNDAGRKENC04,30,2034,7
GLOBAL,LNDAGRKENC04,30,2035,7
GLOBAL,LNDAGRKENC04,30,2036,7
GLOBAL,LNDAGRKENC04,30,2037,7
GLOBAL,LNDAGRKENC04,30,2038,7
GLOBAL,LNDAGRKENC04,30,2039,7
GLOBAL,LNDAGRKENC04,30,2040,7
GLOBAL,LNDAGRKENC01,25,2020,3
GLOBAL,LNDAGRKENC01,25,2021,3
GLOBAL,LNDAGRKENC01,25,2022,3
GLOBAL,LNDAGRKENC01,25,2023,3
GLOBAL,LNDAGRKENC01,25,2024,3
GLOBAL,LNDAGRKENC01,25,2025,3
GLOBAL,LNDAGRKENC01,25,2026,3
GLOBAL,LNDAGRKENC01,25,2027,3
GLOBAL,LNDAGRKENC01,25,2028,3
GLOBAL,LNDAGRKENC01,25,2029,3
GLOBAL,LNDAGRKENC01,25,2030,3
GLOBAL,LNDAGRKENC01,25,2031,3
GLOBAL,LNDAGRKENC01,25,2032,3
GLOBAL,LNDAGRKENC01,25,2033,3
GLOBAL,LNDAGRKENC01,25,2034,3
GLOBAL,LNDAGRKENC01,25,2035,3
GLOBAL,LNDAGRKENC01,25,2036,3
GLOBAL,LNDAGRKENC01,25,2037,3
GLOBAL,LNDAGRKENC01,25,2038,3
GLOBAL,LNDAGRKENC01,25,2039,3
GLOBAL,LNDAGRKENC01,25,2040,3
GLOBAL,LNDAGRKENC02,25,2020,6.2
GLOBAL,LNDAGRKENC02,25,2021,6.2
GLOBAL,LNDAGRKENC02,25,2022,6.2
GLOBAL,LNDAGRKENC02,25,2023,6.2
GLOBAL,LNDAGRKENC02,25,2024,6.2
GLOBAL,LNDAGRKENC02,25,2025,6.2
GLOBAL,LNDAGRKENC02,25,2026,6.2
GLOBAL,LNDAGRKENC02,25,2027,6.2
GLOBAL,LNDAGRKENC02,25,2028,6.2
GLOBAL,LNDAGRKENC02,25,2029,6.2
GLOBAL,LNDAGRKENC02,25,2030,6.2
GLOBAL,LNDAGRKENC02,25,2031,6.2
GLOBAL,LNDAGRKENC02,25,2032,6.2
GLOBAL,LNDAGRKENC02,25,2033,6.2
GLOBAL,LNDAGRKENC02,25,2034,6.2
GLOBAL,LNDAGRKENC02,25,2035,6.2
GLOBAL,LNDAGRKENC02,25,2036,6.2
GLOBAL,LNDAGRKENC02,25,2037,6.2
GLOBAL,LNDAGRKENC02,25,2038,6.2
GLOBAL,LNDAGRKENC02,25,2039,6.2
GLOBAL,LNDAGRKENC02,25,2040,6.2
GLOBAL,LNDAGRKENC03,25,2020,1
GLOBAL,LNDAGRKENC03,25,2021,1
GLOBAL,LNDAGRKENC03,25,2022,1
GLOBAL,LNDAGRKENC03,25,2023,1
GLOBAL,LNDAGRKENC03,25,2024,1
GLOBAL,LNDAGRKENC03,25,2025,1
GLOBAL,LNDAGRKENC03,25,2026,1
GLOBAL,LNDAGRKENC03,25,2027,1
GLOBAL,LNDAGRKENC03,25,2028,1
GLOBAL,LNDAGRKENC03,25,2029,1
GLOBAL,LNDAGRKENC03,25,2030,1
GLOBAL,LNDAGRKENC03,25,2031,1
GLOBAL,LNDAGRKENC03,25,2032,1
GLOBAL,LNDAGRKENC03,25,2033,1
GLOBAL,LNDAGRKENC03,25,2034,1
GLOBAL,LNDAGRKENC03,25,2035,1
GLOBAL,LNDAGRKENC03,25,2036,1
GLOBAL,LNDAGRKENC03,25,2037,1
