REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,PWRCCGKENXX00,2020,0
GLOBAL,PWRCCGKENXX00,2021,0
GLOBAL,PWRCCGKENXX00,2022,0
GLOBAL,PWRCCGKENXX00,2023,0
GLOBAL,PWRCCGKENXX00,2024,0
GLOBAL,PWRCCGKENXX00,2025,0
GLOBAL,PWRCCGKENXX00,2026,0
GLOBAL,PWRCCGKENXX00,2027,0
GLOBAL,PWRCCGKENXX00,2028,0
GLOBAL,PWRCCGKENXX00,2029,0
GLOBAL,PWRCCGKENXX00,2030,0
GLOBAL,PWRCCGKENXX00,2031,0
GLOBAL,PWRCCGKENXX00,2032,0
GLOBAL,PWRCCGKENXX00,2033,0
GLOBAL,PWRCCGKENXX00,2034,0
GLOBAL,PWRCCGKENXX00,2035,0
GLOBAL,PWRCCGKENXX00,2036,0
GLOBAL,PWRCCGKENXX00,2037,0
GLOBAL,PWRCCGKENXX00,2038,0
GLOBAL,PWRCCGKENXX00,2039,0
GLOBAL,PWRCCGKENXX00,2040,0
GLOBAL,PWROCGKENXX00,2020,0
GLOBAL,PWROCGKENXX00,2021,0
GLOBAL,PWROCGKENXX00,2022,0
GLOBAL,PWROCGKENXX00,2023,0
GLOBAL,PWROCGKENXX00,2024,0
GLOBAL,PWROCGKENXX00,2025,0
GLOBAL,PWROCGKENXX00,2026,0
GLOBAL,PWROCGKENXX00,2027,0
GLOBAL,PWROCGKENXX00,2028,0
GLOBAL,PWROCGKENXX00,2029,0
GLOBAL,PWROCGKENXX00,2030,0
GLOBAL,PWROCGKENXX00,2031,0
GLOBAL,PWROCGKENXX00,2032,0
GLOBAL,PWROCGKENXX00,2033,0
GLOBAL,PWROCGKENXX00,2034,0
GLOBAL,PWROCGKENXX00,2035,0
GLOBAL,PWROCGKENXX00,2036,0
GLOBAL,PWROCGKENXX00,2037,0
GLOBAL,PWROCGKENXX00,2038,0
GLOBAL,PWROCGKENXX00,2039,0
GLOBAL,PWROCGKENXX00,2040,0
GLOBAL,PWRURNKENXX01,2020,0
GLOBAL,PWRURNKENXX01,2021,0
GLOBAL,PWRURNKENXX01,2022,0
GLOBAL,PWRURNKENXX01,2023,0
GLOBAL,PWRURNKENXX01,2024,0
GLOBAL,PWRURNKENXX01,2025,0
GLOBAL,PWRURNKENXX01,2026,0
GLOBAL,PWRURNKENXX01,2027,0
GLOBAL,PWRURNKENXX01,2028,0
GLOBAL,PWRURNKENXX01,2029,0
GLOBAL,PWRURNKENXX01,2030,0
GLOBAL,PWRURNKENXX01,2031,0
GLOBAL,PWRURNKENXX01,2032,0
GLOBAL,PWRURNKENXX01,2033,0
GLOBAL,PWRURNKENXX01,2034,0
GLOBAL,PWRURNKENXX01,2035,0
GLOBAL,PWRURNKENXX01,2036,0
GLOBAL,PWRURNKENXX01,2037,0
GLOBAL,PWRURNKENXX01,2038,0
GLOBAL,PWRURNKENXX01,2039,0
GLOBAL,PWRURNKENXX01,2040,0
GLOBAL,MINURNINT,2020,0
GLOBAL,MINURNINT,2021,0
GLOBAL,MINURNINT,2022,0
GLOBAL,MINURNINT,2023,0
GLOBAL,MINURNINT,2024,0
GLOBAL,MINURNINT,2025,0
GLOBAL,MINURNINT,2026,0
GLOBAL,MINURNINT,2027,0
GLOBAL,MINURNINT,2028,0
GLOBAL,MINURNINT,2029,0
GLOBAL,MINURNINT,2030,0
GLOBAL,MINURNINT,2031,0
GLOBAL,MINURNINT,2032,0
GLOBAL,MINURNINT,2033,0
GLOBAL,MINURNINT,2034,0
GLOBAL,MINURNINT,2035,0
GLOBAL,MINURNINT,2036,0
GLOBAL,MINURNINT,2037,0
GLOBAL,MINURNINT,2038,0
GLOBAL,MINURNINT,2039,0
GLOBAL,MINURNINT,2040,0
GLOBAL,PWRWAVKENXX01,2020,0
GLOBAL,PWRWAVKENXX01,2021,0
GLOBAL,PWRWAVKENXX01,2022,0
GLOBAL,PWRWAVKENXX01,2023,0
GLOBAL,PWRWAVKENXX01,2024,0
GLOBAL,PWRWAVKENXX01,2025,0
GLOBAL,PWRWAVKENXX01,2026,0
GLOBAL,PWRWAVKENXX01,2027,0
GLOBAL,PWRWAVKENXX01,2028,0
GLOBAL,PWRWAVKENXX01,2029,0
GLOBAL,PWRWAVKENXX01,2030,0
GLOBAL,PWRWAVKENXX01,2031,0
GLOBAL,PWRWAVKENXX01,2032,0
GLOBAL,PWRWAVKENXX01,2033,0
GLOBAL,PWRWAVKENXX01,2034,0
GLOBAL,PWRWAVKENXX01,2035,0
GLOBAL,PWRWAVKENXX01,2036,0
GLOBAL,PWRWAVKENXX01,2037,0
GLOBAL,PWRWAVKENXX01,2038,0
GLOBAL,PWRWAVKENXX01,2039,0
GLOBAL,PWRWAVKENXX01,2040,0
